Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","1","Arménie","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","21","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","6691","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","388","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","2854","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","343","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","656","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","37","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","1433","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","179","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","1320","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","36","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","758","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","2161","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","237","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","101","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","580","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","3484","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","21","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","822","S","Données standardisées"
